Date,Multiple Job Holding Rate (%)
Mar-15,5.6
Jun-15,5.7
Sep-15,5.5
Dec-15,5.7
Mar-16,5.7
Jun-16,5.6
Sep-16,5.6
Dec-16,5.5
Mar-17,5.4
Jun-17,5.6
Sep-17,5.6
Dec-17,5.5
Mar-18,5.6
Jun-18,5.7
Sep-18,5.7
Dec-18,6
Mar-19,5.9
Jun-19,5.7
Sep-19,5.8
Dec-19,5.8
Mar-20,6
Jun-20,5.1
Sep-20,5.7
Dec-20,6
Mar-21,6
Jun-21,6.2
Sep-21,5.9
Dec-21,6.3
Mar-22,6.3
Jun-22,6.5
Sep-22,6.4
Dec-22,6.5
Mar-23,6.6
Jun-23,6.7
Sep-23,6.7
Dec-23,6.6
Mar-24,6.7
Jun-24,6.6
Sep-24,6.7
Dec-24,6.7
Mar-25,6.5
Jun-25,6.4
Sep-25,6.5
Dec-25,6.5
